sub-extended feature ID,feature_type,feature_category,feature_field,Feature Name,feature_field_correct,type,category,feature,sub_feature,body_part,aspect,index,extraneous add-on (to be removed),Notes,old_feature_field,name,short_name,bin_width,is_signed,is_zero_bin,units,sub_field,old_sub_field,signed_field,remove_partial_events,make_zero_if_empty,is_time_series,multiplier,Module,Class Name,Flags,is_feature
11,movement,Morphology,morphology.width_per_length,morphology.width_per_length,morphology.width_per_length,movement,morphology,width_per_length,,,,,,,morphology.widthPerLength,Width/Length,Width/Length,0.0001,0,0,No Units,,,,,,1,4,morphology_features,WidthPerLength,,y
12,movement,Posture,posture.bends.head.mean,posture.bends.head.mean,posture.bends.head.mean,movement,posture,bends,,head,mean,,,,posture.bends.head.mean,Head Bend Mean (+/- = D/V Inside),Head,1,1,1,Degrees,,,,,,1,16,posture_features,BendMean,head,y
13,movement,Posture,posture.bends.neck.mean,posture.bends.neck.mean,posture.bends.neck.mean,movement,posture,bends,,neck,mean,,,,posture.bends.neck.mean,Neck Bend Mean (+/- = D/V Inside),Neck,1,1,1,Degrees,,,,,,1,16,posture_features,BendMean,neck,y
14,movement,Posture,posture.bends.midbody.mean,posture.bends.midbody.mean,posture.bends.midbody.mean,movement,posture,bends,,midbody,mean,,,,posture.bends.midbody.mean,Midbody Bend Mean (+/- = D/V Inside),Midbody,1,1,1,Degrees,,,,,,1,16,posture_features,BendMean,midbody,y
15,movement,Posture,posture.bends.hips.mean,posture.bends.hips.mean,posture.bends.hips.mean,movement,posture,bends,,hips,mean,,,,posture.bends.hips.mean,Hips Bend Mean (+/- = D/V Inside),Hips,1,1,1,Degrees,,,,,,1,16,posture_features,BendMean,hips,y
16,movement,Posture,posture.bends.tail.mean,posture.bends.tail.mean,posture.bends.tail.mean,movement,posture,bends,,tail,mean,,,,posture.bends.tail.mean,Tail Bend Mean (+/- = D/V Inside),Tail,1,1,1,Degrees,,,,,,1,16,posture_features,BendMean,tail,y
17,movement,Posture,posture.bends.head.std_dev,posture.bends.head.std_dev,posture.bends.head.std_dev,movement,posture,bends,,head,std_dev,,,,posture.bends.head.stdDev,Head Bend S.D. (+/- = D/V Inside),Head,0.5,1,1,Degrees,,,,,,1,16,posture_features,BendStdDev,head,y
18,movement,Posture,posture.bends.neck.std_dev,posture.bends.neck.std_dev,posture.bends.neck.std_dev,movement,posture,bends,,neck,std_dev,,,,posture.bends.neck.stdDev,Neck Bend S.D. (+/- = D/V Inside),Neck,0.5,1,1,Degrees,,,,,,1,16,posture_features,BendStdDev,neck,y
19,movement,Posture,posture.bends.midbody.std_dev,posture.bends.midbody.std_dev,posture.bends.midbody.std_dev,movement,posture,bends,,midbody,std_dev,,,,posture.bends.midbody.stdDev,Midbody Bend S.D. (+/- = D/V Inside),Midbody,0.5,1,1,Degrees,,,,,,1,16,posture_features,BendStdDev,midbody,y
20,movement,Posture,posture.bends.hips.std_dev,posture.bends.hips.std_dev,posture.bends.hips.std_dev,movement,posture,bends,,hips,std_dev,,,,posture.bends.hips.stdDev,Hips Bend S.D. (+/- = D/V Inside),Hips,0.5,1,1,Degrees,,,,,,1,16,posture_features,BendStdDev,hips,y
21,movement,Posture,posture.bends.tail.std_dev,posture.bends.tail.std_dev,posture.bends.tail.std_dev,movement,posture,bends,,tail,std_dev,,,,posture.bends.tail.stdDev,Tail Bend S.D. (+/- = D/V Inside),Tail,0.5,1,1,Degrees,,,,,,1,16,posture_features,BendStdDev,tail,y
22,movement,Posture,posture.amplitude_max,posture.amplitude_max,posture.amplitude.max,movement,posture,amplitude,,,max,,,,posture.amplitude.max,Max Amplitude,Amplitude,1,0,0,Microns,,,,,,1,4,posture_features,AmplitudeMax,,y
23,movement,Posture,posture.amplitude_ratio,posture.amplitude_ratio,posture.amplitude.ratio,movement,posture,amplitude,,,ratio,,,,posture.amplitude.ratio,Amplitude Ratio,Ratio,0.01,0,0,No Units,,,,,,1,4,posture_features,AmplitudeRatio,,y
24,movement,Posture,posture.primary_wavelength,posture.primary_wavelength,posture.wavelength.primary,movement,posture,wavelength,,,primary,,,,posture.wavelength.primary,Primary Wavelength,Primary,1,0,0,Microns,,,,,,1,4,posture_features,PrimaryWavelength,,y
25,movement,Posture,posture.secondary_wavelength,posture.secondary_wavelength,posture.wavelength.secondary,movement,posture,wavelength,,,secondary,,,,posture.wavelength.secondary,Secondary Wavelength,Secondary,1,0,0,Microns,,,,,,1,4,posture_features,SecondaryWavelength,,y
26,movement,Posture,posture.track_length,posture.track_length,posture.track_length,movement,posture,track_length,,,,,,,posture.tracklength,Track Length,Track,1,0,0,Microns,,,,,,1,4,posture_features,TrackLength,,y
27,movement,Posture,posture.eccentricity,posture.eccentricity,posture.eccentricity,movement,posture,eccentricity,,,,,,,posture.eccentricity,Eccentricity,Eccentricity,0.01,0,0,No Units,,,,,,1,4,posture_features,Eccentricity,,y
28,movement,Posture,posture.kinks,posture.kinks,posture.kinks,movement,posture,kinks,,,,,,"In the PDF it seems to be more of an ""event"" feature since it's giving the bend counts.",posture.kinks,Bend Count,Bends,1,0,1,Counts,,,,,,1,4,posture_features,Kinks,,y
29,movement,Posture,posture.directions.tail2head,posture.directions.tail2head,posture.directions.tail2head,movement,posture,directions,,tail2head,,,,,posture.directions.tail2head,Tail-To-Head Orientation,Tail-To-Head,1,1,1,Degrees,,,,,,1,16,posture_features,Direction,tail2head,y
30,movement,Posture,posture.directions.head,posture.directions.head,posture.directions.head,movement,posture,directions,,head,,,,,posture.directions.head,Head Orientation,Head,1,1,1,Degrees,,,,,,1,16,posture_features,Direction,head,y
31,movement,Posture,posture.directions.tail,posture.directions.tail,posture.directions.tail,movement,posture,directions,,tail,,,,,posture.directions.tail,Tail Orientation,Tail,1,1,1,Degrees,,,,,,1,16,posture_features,Direction,tail,y
32,movement,Posture,posture.eigen_projection0,posture.eigen_projection0,posture.eigen_projection,movement,posture,eigen_projection,,,,0,,,posture.eigenProjection,Eigen Projection 1,Projection 1,1,1,1,No Units,,,,,,1,16,posture_features,EigenProjection,,y
33,movement,Posture,posture.eigen_projection1,posture.eigen_projection1,posture.eigen_projection,movement,posture,eigen_projection,,,,1,,,posture.eigenProjection,Eigen Projection 2,Projection 2,1,1,1,No Units,,,,,,1,16,posture_features,EigenProjection,,y
34,movement,Posture,posture.eigen_projection2,posture.eigen_projection2,posture.eigen_projection,movement,posture,eigen_projection,,,,2,,,posture.eigenProjection,Eigen Projection 3,Projection 3,1,1,1,No Units,,,,,,1,16,posture_features,EigenProjection,,y
35,movement,Posture,posture.eigen_projection3,posture.eigen_projection3,posture.eigen_projection,movement,posture,eigen_projection,,,,3,,,posture.eigenProjection,Eigen Projection 4,Projection 4,1,1,1,No Units,,,,,,1,16,posture_features,EigenProjection,,y
36,movement,Posture,posture.eigen_projection4,posture.eigen_projection4,posture.eigen_projection,movement,posture,eigen_projection,,,,4,,,posture.eigenProjection,Eigen Projection 5,Projection 5,1,1,1,No Units,,,,,,1,16,posture_features,EigenProjection,,y
37,movement,Posture,posture.eigen_projection5,posture.eigen_projection5,posture.eigen_projection,movement,posture,eigen_projection,,,,5,,,posture.eigenProjection,Eigen Projection 6,Projection 6,1,1,1,No Units,,,,,,1,16,posture_features,EigenProjection,,y
38,movement,Locomotion,locomotion.velocity.head_tip.speed,locomotion.velocity.head_tip.speed,locomotion.velocity.head_tip.speed,movement,locomotion,velocity,,head_tip,speed,,,,locomotion.velocity.headTip.speed,Head Tip Speed (+/- = Forward/Backward),Head Tip,1,1,1,Microns/Seconds,,,,,,1,16,locomotion_features,VelocitySpeed,head_tip,y
39,movement,Locomotion,locomotion.velocity.head.speed,locomotion.velocity.head.speed,locomotion.velocity.head.speed,movement,locomotion,velocity,,head,speed,,,,locomotion.velocity.head.speed,Head Speed (+/- = Forward/Backward),Head,1,1,1,Microns/Seconds,,,,,,1,16,locomotion_features,VelocitySpeed,head,y
40,movement,Locomotion,locomotion.velocity.midbody.speed,locomotion.velocity.midbody.speed,locomotion.velocity.midbody.speed,movement,locomotion,velocity,,midbody,speed,,,,locomotion.velocity.midbody.speed,Midbody Speed (+/- = Forward/Backward),Midbody,1,1,1,Microns/Seconds,,,,,,1,16,locomotion_features,VelocitySpeed,midbody,y
41,movement,Locomotion,locomotion.velocity.tail.speed,locomotion.velocity.tail.speed,locomotion.velocity.tail.speed,movement,locomotion,velocity,,tail,speed,,,,locomotion.velocity.tail.speed,Tail Speed (+/- = Forward/Backward),Tail,1,1,1,Microns/Seconds,,,,,,1,16,locomotion_features,VelocitySpeed,tail,y
42,movement,Locomotion,locomotion.velocity.tail_tip.speed,locomotion.velocity.tail_tip.speed,locomotion.velocity.tail_tip.speed,movement,locomotion,velocity,,tail_tip,speed,,,,locomotion.velocity.tailTip.speed,Tail Tip Speed (+/- = Forward/Backward),Tail Tip,1,1,1,Microns/Seconds,,,,,,1,16,locomotion_features,VelocitySpeed,tail_tip,y
43,movement,Locomotion,locomotion.velocity.head_tip.direction,locomotion.velocity.head_tip.direction,locomotion.velocity.head_tip.direction,movement,locomotion,velocity,,head_tip,direction,,,,locomotion.velocity.headTip.direction,Head Tip Motion Direction (+/- = Toward D/V),Head Tip,0.01,1,1,Degrees/Seconds,,,,,,1,16,locomotion_features,VelocityDirection,head_tip,y
44,movement,Locomotion,locomotion.velocity.head.direction,locomotion.velocity.head.direction,locomotion.velocity.head.direction,movement,locomotion,velocity,,head,direction,,,,locomotion.velocity.head.direction,Head Motion Direction (+/- = Toward D/V),Head,0.01,1,1,Degrees/Seconds,,,,,,1,16,locomotion_features,VelocityDirection,head,y
45,movement,Locomotion,locomotion.velocity.midbody.direction,locomotion.velocity.midbody.direction,locomotion.velocity.midbody.direction,movement,locomotion,velocity,,midbody,direction,,,,locomotion.velocity.midbody.direction,Midbody Motion Direction (+/- = Toward D/V),Midbody,0.01,1,1,Degrees/Seconds,,,,,,1,16,locomotion_features,VelocityDirection,midbody,y
46,movement,Locomotion,locomotion.velocity.tail.direction,locomotion.velocity.tail.direction,locomotion.velocity.tail.direction,movement,locomotion,velocity,,tail,direction,,,,locomotion.velocity.tail.direction,Tail Motion Direction (+/- = Toward D/V),Tail,0.01,1,1,Degrees/Seconds,,,,,,1,16,locomotion_features,VelocityDirection,tail,y
47,movement,Locomotion,locomotion.velocity.tail_tip.direction,locomotion.velocity.tail_tip.direction,locomotion.velocity.tail_tip.direction,movement,locomotion,velocity,,tail_tip,direction,,,,locomotion.velocity.tailTip.direction,Tail Tip Motion Direction (+/- = Toward D/V),Tail Tip,0.01,1,1,Degrees/Seconds,,,,,,1,16,locomotion_features,VelocityDirection,tail_tip,y
48,movement,Locomotion,locomotion.foraging_bends.amplitude,locomotion.foraging_bends.amplitude,locomotion.foraging_bends.amplitude,movement,locomotion,foraging_bends,,,amplitude,,,,locomotion.bends.foraging.amplitude,Foraging Amplitude (+/- = Toward D/V),Amplitude,1,1,1,Microns,,,,,,1,16,locomotion_bends,ForagingAmplitude,,y
49,movement,Locomotion,locomotion.foraging_bends.angle_speed,locomotion.foraging_bends.angle_speed,locomotion.foraging_bends.angle_speed,movement,locomotion,foraging_bends,,,angle_speed,,,,locomotion.bends.foraging.angleSpeed,Foraging Speed (+/- = Toward D/V),Speed,10,1,1,Degrees/Seconds,,,,,,1,16,locomotion_bends,ForagingAngleSpeed,,y
50,movement,Locomotion,locomotion.crawling_bends.head.amplitude,locomotion.crawling_bends.head.amplitude,locomotion.crawling_bends.head.amplitude,movement,locomotion,crawling_bends,,head,amplitude,,,,locomotion.bends.head.amplitude,Head Crawling Amplitude (+/- = D/V Inside),Head,1,1,1,Degrees,,,,,,1,16,locomotion_bends,BendAmplitude,head,y
51,movement,Locomotion,locomotion.crawling_bends.midbody.amplitude,locomotion.crawling_bends.midbody.amplitude,locomotion.crawling_bends.midbody.amplitude,movement,locomotion,crawling_bends,,midbody,amplitude,,,,locomotion.bends.midbody.amplitude,Midbody Crawling Amplitude (+/- = D/V Inside),Midbody,1,1,1,Degrees,,,,,,1,16,locomotion_bends,BendAmplitude,midbody,y
52,movement,Locomotion,locomotion.crawling_bends.tail.amplitude,locomotion.crawling_bends.tail.amplitude,locomotion.crawling_bends.tail.amplitude,movement,locomotion,crawling_bends,,tail,amplitude,,,,locomotion.bends.tail.amplitude,Tail Crawling Amplitude (+/- = D/V Inside),Tail,1,1,1,Degrees,,,,,,1,16,locomotion_bends,BendAmplitude,tail,y
53,movement,Locomotion,locomotion.crawling_bends.head.frequency,locomotion.crawling_bends.head.frequency,locomotion.crawling_bends.head.frequency,movement,locomotion,crawling_bends,,head,frequency,,,,locomotion.bends.head.frequency,Head Crawling Frequency (+/- = D/V Inside),Head,0.1,1,1,Hz,,,,,,1,16,locomotion_bends,BendFrequency,head,y
54,movement,Locomotion,locomotion.crawling_bends.midbody.frequency,locomotion.crawling_bends.midbody.frequency,locomotion.crawling_bends.midbody.frequency,movement,locomotion,crawling_bends,,midbody,frequency,,,,locomotion.bends.midbody.frequency,Midbody Crawling Frequency (+/- = D/V Inside),Midbody,0.1,1,1,Hz,,,,,,1,16,locomotion_bends,BendFrequency,midbody,y
55,movement,Locomotion,locomotion.crawling_bends.tail.frequency,locomotion.crawling_bends.tail.frequency,locomotion.crawling_bends.tail.frequency,movement,locomotion,crawling_bends,,tail,frequency,,,,locomotion.bends.tail.frequency,Tail Crawling Frequency (+/- = D/V Inside),Tail,0.1,1,1,Hz,,,,,,1,16,locomotion_bends,BendFrequency,tail,y
56,movement,Path,path.range.value,path.range,path.range.value,movement,path,range,,,,,value,,path.range,Path Range,Range,10,0,0,Microns,,,,,,1,4,path_features,NewRange,,y
57,movement,Path,path.curvature,path.curvature,path.curvature,movement,path,curvature,,,,,,,path.curvature,Path Curvature (+/- = D/V Inside),Curvature,0.005,1,1,Radians/Microns,,,,,,1,16,path_features,Curvature,,y
58,event,Posture,posture.coils.event_durations,posture.coils.event_durations,posture.coils,event,posture,coils,,,event_durations,,,,posture.coils.frames,Coil Time,Time,0.1,0,0,seconds,event_durations,time,,1,0,0,1,generic_features,EventFeature,,y
59,event,Posture,posture.coils.time_between_events,posture.coils.time_between_events,posture.coils,event,posture,coils,,,time_between_events,,,,posture.coils.frames,Inter Coil Time,Inter Time,5,0,0,seconds,time_between_events,interTime,,1,0,0,1,generic_features,EventFeature,,y
60,event,Posture,posture.coils.distance_between_events,posture.coils.distance_between_events,posture.coils,event,posture,coils,,,distance_between_events,,,,posture.coils.frames,Inter Coil Distance,Inter Distance,100,0,0,microns,distance_between_events,interDistance,,1,0,0,1,generic_features,EventFeature,,y
61,event,Posture,posture.coils.frequency,posture.coils.frequency,posture.coils,event,posture,coils,,,frequency,,,,posture.coils.frequency,Coils Frequency,Frequency,0.001,0,0,Hz,frequency,,,0,1,0,1,generic_features,EventFeature,,y
62,event,Posture,posture.coils.time_ratio,posture.coils.time_ratio,posture.coils,event,posture,coils,,,time_ratio,,,,posture.coils.timeRatio,Coils Time Ratio,Time Ratio,0.001,0,0,no units,time_ratio,,,0,1,0,1,generic_features,EventFeature,,y
63,event,Locomotion,locomotion.turns.omegas.event_durations,locomotion.omega_turns.event_durations,locomotion.turns.omegas.omegas,event,locomotion,omega_turns,,,event_durations,,omegas,,locomotion.turns.omegas.frames,Omega Turn Time (+/- = D/V Inside),Time,0.1,1,0,seconds,event_durations,time,is_ventral,1,0,0,4,generic_features,EventFeature,,y
64,event,Locomotion,locomotion.turns.omegas.time_between_events,locomotion.omega_turns.time_between_events,locomotion.turns.omegas.omegas,event,locomotion,omega_turns,,,time_between_events,,omegas,,locomotion.turns.omegas.frames,Inter Omega Time (+/- = Previous D/V),Inter Time,5,1,0,seconds,time_between_events,interTime,is_ventral,1,0,0,4,generic_features,EventFeature,,y
65,event,Locomotion,locomotion.turns.omegas.distance_between_events,locomotion.omega_turns.distance_between_events,locomotion.turns.omegas.omegas,event,locomotion,omega_turns,,,distance_between_events,,omegas,,locomotion.turns.omegas.frames,Inter Omega Distance (+/- = Previous D/V),Inter Distance,100,1,0,microns,distance_between_events,interDistance,is_ventral,1,0,0,4,generic_features,EventFeature,,y
66,event,Locomotion,locomotion.turns.omegas.frequency,locomotion.omega_turns.frequency,locomotion.turns.omegas.omegas,event,locomotion,omega_turns,,,frequency,,omegas,,locomotion.turns.omegas.frequency,Omega Turns Frequency,Frequency,0.001,0,0,Hz,frequency,,,0,1,0,1,generic_features,EventFeature,,y
67,event,Locomotion,locomotion.turns.omegas.time_ratio,locomotion.omega_turns.time_ratio,locomotion.turns.omegas.omegas,event,locomotion,omega_turns,,,time_ratio,,omegas,,locomotion.turns.omegas.timeRatio,Omega Turns Time Ratio,Time Ratio,0.001,0,0,no units,time_ratio,,,0,1,0,1,generic_features,EventFeature,,y
68,event,Locomotion,locomotion.turns.upsilons.event_durations,locomotion.upsilon_turns.event_durations,locomotion.turns.upsilons.upsilons,event,locomotion,upsilon_turns,,,event_durations,,upsilons,,locomotion.turns.upsilons.frames,Upsilon Turn Time (+/- = D/V Inside),Time,0.1,1,0,seconds,event_durations,time,is_ventral,1,0,0,4,generic_features,EventFeature,,y
69,event,Locomotion,locomotion.turns.upsilons.time_between_events,locomotion.upsilon_turns.time_between_events,locomotion.turns.upsilons.upsilons,event,locomotion,upsilon_turns,,,time_between_events,,upsilons,,locomotion.turns.upsilons.frames,Inter Upsilon Time (+/- = Previous D/V),Inter Time,5,1,0,seconds,time_between_events,interTime,is_ventral,1,0,0,4,generic_features,EventFeature,,y
70,event,Locomotion,locomotion.turns.upsilons.distance_between_events,locomotion.upsilon_turns.distance_between_events,locomotion.turns.upsilons.upsilons,event,locomotion,upsilon_turns,,,distance_between_events,,upsilons,,locomotion.turns.upsilons.frames,Inter Upsilon Distance (+/- = Previous D/V),Inter Distance,100,1,0,microns,distance_between_events,interDistance,is_ventral,1,0,0,4,generic_features,EventFeature,,y
71,event,Locomotion,locomotion.turns.upsilons.frequency,locomotion.upsilon_turns.frequency,locomotion.turns.upsilons.upsilons,event,locomotion,upsilon_turns,,,frequency,,upsilons,,locomotion.turns.upsilons.frequency,Upsilon Turns Frequency,Frequency,0.001,0,0,Hz,frequency,,,0,1,0,1,generic_features,EventFeature,,y
72,event,Locomotion,locomotion.turns.upsilons.time_ratio,locomotion.upsilon_turns.time_ratio,locomotion.turns.upsilons.upsilons,event,locomotion,upsilon_turns,,,time_ratio,,upsilons,,locomotion.turns.upsilons.timeRatio,Upsilon Turns Time Ratio,Time Ratio,0.001,0,0,no units,time_ratio,,,0,1,0,1,generic_features,EventFeature,,y
73,event,Locomotion,locomotion.motion_events.forward.event_durations,locomotion.motion_events.forward.event_durations,locomotion.motion_events.forward,event,locomotion,motion_events,forward,,event_durations,,,,locomotion.motion.forward.frames,Forward Time,Time,0.5,0,0,seconds,event_durations,time,,1,0,0,1,generic_features,EventFeature,,y
74,event,Locomotion,locomotion.motion_events.forward.distance_during_events,locomotion.motion_events.forward.distance_during_events,locomotion.motion_events.forward,event,locomotion,motion_events,forward,,distance_during_events,,,,locomotion.motion.forward.frames,Forward Distance,Distance,10,0,0,microns,distance_during_events,distance,,1,0,0,1,generic_features,EventFeature,,y
75,event,Locomotion,locomotion.motion_events.forward.time_between_events,locomotion.motion_events.forward.time_between_events,locomotion.motion_events.forward,event,locomotion,motion_events,forward,,time_between_events,,,,locomotion.motion.forward.frames,Inter Forward Time,Inter Time,5,0,0,seconds,time_between_events,interTime,,1,0,0,1,generic_features,EventFeature,,y
76,event,Locomotion,locomotion.motion_events.forward.distance_between_events,locomotion.motion_events.forward.distance_between_events,locomotion.motion_events.forward,event,locomotion,motion_events,forward,,distance_between_events,,,,locomotion.motion.forward.frames,Inter Forward Distance,Inter Distance,100,0,0,microns,distance_between_events,interDistance,,1,0,0,1,generic_features,EventFeature,,y
77,event,Locomotion,locomotion.motion_events.forward.frequency,locomotion.motion_events.forward.frequency,locomotion.motion_events.forward,event,locomotion,motion_events,forward,,frequency,,,,locomotion.motion.forward.frequency,Forward Motion Frequency,Frequency,0.001,0,0,Hz,frequency,,,0,1,0,1,generic_features,EventFeature,,y
78,event,Locomotion,locomotion.motion_events.forward.time_ratio,locomotion.motion_events.forward.time_ratio,locomotion.motion_events.forward,event,locomotion,motion_events,forward,,time_ratio,,,,locomotion.motion.forward.ratio,Forward Motion Time Ratio,Time Ratio,0.001,0,0,no units,time_ratio,time,,0,1,0,1,generic_features,EventFeature,,y
79,event,Locomotion,locomotion.motion_events.forward.data_ratio,locomotion.motion_events.forward.data_ratio,locomotion.motion_events.forward,event,locomotion,motion_events,forward,,data_ratio,,,,locomotion.motion.forward.ratio,Forward Motion Distance Ratio,Distance Ratio,0.001,0,0,no units,data_ratio,distance,,0,1,0,1,generic_features,EventFeature,,y
80,event,Locomotion,locomotion.motion_events.paused.event_durations,locomotion.motion_events.paused.event_durations,locomotion.motion_events.paused,event,locomotion,motion_events,paused,,event_durations,,,,locomotion.motion.paused.frames,Paused Time,Time,0.5,0,0,seconds,event_durations,time,,1,0,0,1,generic_features,EventFeature,,y
81,event,Locomotion,locomotion.motion_events.paused.distance_during_events,locomotion.motion_events.paused.distance_during_events,locomotion.motion_events.paused,event,locomotion,motion_events,paused,,distance_during_events,,,,locomotion.motion.paused.frames,Paused Distance,Distance,10,0,0,microns,distance_during_events,distance,,1,0,0,1,generic_features,EventFeature,,y
82,event,Locomotion,locomotion.motion_events.paused.time_between_events,locomotion.motion_events.paused.time_between_events,locomotion.motion_events.paused,event,locomotion,motion_events,paused,,time_between_events,,,,locomotion.motion.paused.frames,Inter Paused Time,Inter Time,5,0,0,seconds,time_between_events,interTime,,1,0,0,1,generic_features,EventFeature,,y
83,event,Locomotion,locomotion.motion_events.paused.distance_between_events,locomotion.motion_events.paused.distance_between_events,locomotion.motion_events.paused,event,locomotion,motion_events,paused,,distance_between_events,,,,locomotion.motion.paused.frames,Inter Paused Distance,Inter Distance,100,0,0,microns,distance_between_events,interDistance,,1,0,0,1,generic_features,EventFeature,,y
84,event,Locomotion,locomotion.motion_events.paused.frequency,locomotion.motion_events.paused.frequency,locomotion.motion_events.paused,event,locomotion,motion_events,paused,,frequency,,,,locomotion.motion.paused.frequency,Paused Motion Frequency,Frequency,0.001,0,0,Hz,frequency,,,0,1,0,1,generic_features,EventFeature,,y
85,event,Locomotion,locomotion.motion_events.paused.time_ratio,locomotion.motion_events.paused.time_ratio,locomotion.motion_events.paused,event,locomotion,motion_events,paused,,time_ratio,,,,locomotion.motion.paused.ratio,Paused Motion Time Ratio,Time Ratio,0.001,0,0,no units,time_ratio,time,,0,1,0,1,generic_features,EventFeature,,y
86,event,Locomotion,locomotion.motion_events.paused.data_ratio,locomotion.motion_events.paused.data_ratio,locomotion.motion_events.paused,event,locomotion,motion_events,paused,,data_ratio,,,,locomotion.motion.paused.ratio,Paused Motion Distance Ratio,Distance Ratio,0.001,0,0,no units,data_ratio,distance,,0,1,0,1,generic_features,EventFeature,,y
87,event,Locomotion,locomotion.motion_events.backward.event_durations,locomotion.motion_events.backward.event_durations,locomotion.motion_events.backward,event,locomotion,motion_events,backward,,event_durations,,,,locomotion.motion.backward.frames,Backward Time,Time,0.5,0,0,seconds,event_durations,time,,1,0,0,1,generic_features,EventFeature,,y
88,event,Locomotion,locomotion.motion_events.backward.distance_during_events,locomotion.motion_events.backward.distance_during_events,locomotion.motion_events.backward,event,locomotion,motion_events,backward,,distance_during_events,,,,locomotion.motion.backward.frames,Backward Distance,Distance,10,0,0,microns,distance_during_events,distance,,1,0,0,1,generic_features,EventFeature,,y
89,event,Locomotion,locomotion.motion_events.backward.time_between_events,locomotion.motion_events.backward.time_between_events,locomotion.motion_events.backward,event,locomotion,motion_events,backward,,time_between_events,,,,locomotion.motion.backward.frames,Inter Backward Time,Inter Time,5,0,0,seconds,time_between_events,interTime,,1,0,0,1,generic_features,EventFeature,,y
90,event,Locomotion,locomotion.motion_events.backward.distance_between_events,locomotion.motion_events.backward.distance_between_events,locomotion.motion_events.backward,event,locomotion,motion_events,backward,,distance_between_events,,,,locomotion.motion.backward.frames,Inter Backward Distance,Inter Distance,100,0,0,microns,distance_between_events,interDistance,,1,0,0,1,generic_features,EventFeature,,y
91,event,Locomotion,locomotion.motion_events.backward.frequency,locomotion.motion_events.backward.frequency,locomotion.motion_events.backward,event,locomotion,motion_events,backward,,frequency,,,,locomotion.motion.backward.frequency,Backward Motion Frequency,Frequency,0.001,0,0,Hz,frequency,,,0,1,0,1,generic_features,EventFeature,,y
92,event,Locomotion,locomotion.motion_events.backward.time_ratio,locomotion.motion_events.backward.time_ratio,locomotion.motion_events.backward,event,locomotion,motion_events,backward,,time_ratio,,,,locomotion.motion.backward.ratio,Backward Motion Time Ratio,Time Ratio,0.001,0,0,no units,time_ratio,time,,0,1,0,1,generic_features,EventFeature,,y
93,event,Locomotion,locomotion.motion_events.backward.data_ratio,locomotion.motion_events.backward.data_ratio,locomotion.motion_events.backward,event,locomotion,motion_events,backward,,data_ratio,,,,locomotion.motion.backward.ratio,Backward Motion Distance Ratio,Distance Ratio,0.001,0,0,no units,data_ratio,distance,,0,1,0,1,generic_features,EventFeature,,y
